Date,DXY,METALS,OIL,US_STK,INTL_STK,13W_TB,10Y_TBY,EURUSD
3/13/2015,0.01190116,0.000152539,0,-0.006132385,-0.008246216,0.277777778,0.007633588,0.00735253
3/16/2015,-0.007276029,-0.001219915,-0.030776093,0.013360555,0.010960313,0.304347826,-0.006628788,-0.013615262
3/17/2015,-0.000100422,-0.01694658,0.027611597,-0.00297256,-0.001121764,0.6,-0.019065777,0.008712385
3/18/2015,-0.010442746,0.049541902,-0.015673981,0.012021483,0.02208084,-0.208333333,-0.051992225,0.002373983
3/19/2015,0.005580872,-0.005179032,0.040036397,-0.004561274,-0.012449542,-0.736842105,0.013326499,0.023772298
3/20/2015,-0.012008012,0.030343506,0,0.008827001,0.018909931,-0.7,-0.023773394,-0.016686651
3/23/2015,-0.008987897,0.022231862,0.039151356,-0.001948858,0.005094538,0,-0.007772021,0.014778413
3/24/2015,0.001649005,-0.003530575,0.035781941,-0.005618954,0.000145217,4,-0.019321149,0.010934171
3/25/2015,-0.002160706,-0.0151644,0.045112782,-0.014653796,-0.006535608,0.2,0.022364217,-0.003925084
3/26/2015,0.004743236,-0.015829602,-0.049776395,-0.002381107,-0.007675658,0.555555556,0.0453125,0.00536047
3/27/2015,-0.001539419,-0.009650475,0,0.002289588,0,0.071428571,-0.02939711,-0.006760659
3/30/2015,0.007092219,-0.01786514,-0.025987313,0.012199809,0.004051396,-0.233333333,0.007700205,-0.000130438
3/31/2015,0.003878322,-0.01533369,0.052310924,-0.008739646,-0.010271333,0.086956522,-0.014773306,-0.005025287
4/1/2015,-0.001728335,0.051908427,-0.018965861,-0.00353639,0.006301004,0.32,-0.034126163,-0.008504882
4/2/2015,-0.007638252,-0.013643004,0,0.003597732,0.009576449,-0.696969697,0.019271949,0.002961407
4/6/2015,-0.00338671,0.037080695,0.098494098,0.006733115,0.010580139,-0.7,0,0.021485728
4/7/2015,0.007414283,-0.020005717,-0.065950352,-0.002646472,0.00036085,4,-0.005777311,-0.006046536
4/8/2015,0.002453215,-0.014333256,0.007338358,0.00337704,0.006495945,0.2,0.001056524,-0.01012088
4/9/2015,0.011114551,-0.006022385,0.016735578,0.004423674,0.003226903,0.111111111,0.033245383,-0.003591044
4/10/2015,0.002319433,0.023644141,0,0.00545669,0.002144334,-0.25,-0.003575077,-0.010775798
4/13/2015,0.001006127,-0.01400309,0.031951975,-0.004522646,-0.002853038,-0.666666667,-0.006150692,-0.005549692
4/14/2015,-0.007337381,0.011859414,0.058172265,0.001912999,0.006079982,1,-0.018050542,-0.0034779
4/15/2015,-0.004353989,0.03935756,0.005674765,0.004487189,0.0053324,0.5,-0.00210084,0.007016017
4/16/2015,-0.009254591,-0.012947236,-0.017104567,-0.00028502,0.00388964,-0.333333333,-0.011578947,0.002786666
4/17/2015,0.001026473,0.000705148,0,-0.011503651,-0.011975957,0.3,-0.014909478,0.007378615
4/20/2015,0.00430686,0.003523608,-0.00861141,0.009136787,0.000356604,0,0.024324324,0.005081083
4/21/2015,0.000408424,0.000280955,0.016286645,-0.001191225,0.005702093,0.538461538,0.011081794,-0.005803762
4/22/2015,0.000408185,-0.025835495,0.028133903,0.00491414,0.003897782,0,0.029227557,-0.00053687
4/23/2015,-0.00754946,0.01801672,-0.01021822,0.002516241,0.004941633,0,-0.012677485,-0.00148021
4/24/2015,-0.003700668,-0.009627637,0,0.002320461,0.004917544,-0.25,-0.01540832,0.00831638
4/27/2015,-0.001547679,0.024731995,-0.001574803,-0.004157937,0.00524302,-0.133333333,0.003651539,0.004988433
4/28/2015,-0.007026982,0.03404022,0.026638626,0.003178925,0.001738628,0,0.025467775,0.000827125
4/29/2015,-0.01009463,0.00796001,0.017924206,-0.004114761,-0.00763621,-0.769230769,0.031424227,0.008380248
4/30/2015,-0.005466831,-0.024628511,-0.008049639,-0.010020175,-0.008394582,0.666666667,0.005405405,0.01323716
5/1/2015,0.00739963,0.004391368,0,0.010841295,0.003527459,-0.4,0.034701857,0.009027993
5/4/2015,0.001888772,0.003552329,0.021132713,0.002847503,0.000702591,0,0.008502598,-0.002561825
5/5/2015,-0.003665752,-0.007079605,0.008774834,-0.01145185,-0.010888318,1.666666667,0.019203747,-0.003288953
5/6/2015,-0.010511931,-0.019059358,-0.03266043,-0.004116834,0.000710167,0.25,0.029411765,0.003333889
5/7/2015,0.005205631,0.003494548,0.007634883,0.00398937,-0.004258359,-0.5,-0.025,0.013870526
5/8/2015,0.001796639,0.009472071,0,0.013166246,0.017818849,-0.4,-0.015567766,-0.008334017
5/11/2015,0.00232093,0.004277604,0.022899478,-0.004772702,-0.005252031,0.666666667,0.057674419,-0.004701719
5/12/2015,-0.005052131,0.010305029,-0.004115226,-0.00299122,-0.001759878,1.6,-0.006156552,-0.004435384
5/13/2015,-0.009626531,0.023255801,-0.010247934,0.000190528,0.007052049,-0.230769231,0.009734513,0.006912877
5/14/2015,-0.002777206,0.001594936,-0.003173013,0.010427403,0.008403653,0,-0.01884312,0.011497613
5/15/2015,-0.002356491,-0.003184687,0,0.001083789,0.003124525,0,-0.04376954,0.004801559
5/18/2015,0.011273384,-0.003328008,-0.040710337,0.003106858,-0.003807305,-0.2,0.040635217,0.003513377
